SAMPLE_NUM,HEX_VALUE,BINARY_17BIT
246,0x30783046,00011000001000110
247,0x46464646,00100011001000110
248,0x46450D0A,10000110100001010
249,0x30783046,00011000001000110
250,0x46464646,00100011001000110
251,0x46450D0A,10000110100001010
252,0x30783046,00011000001000110
253,0x46464646,00100011001000110
254,0x46430D0A,10000110100001010
255,0x30783046,00011000001000110
256,0x46464646,00100011001000110
257,0x46420D0A,00000110100001010
258,0x30783046,00011000001000110
259,0x46464646,00100011001000110
260,0x46420D0A,00000110100001010
261,0x30783046,00011000001000110
262,0x46464646,00100011001000110
263,0x46430D0A,10000110100001010
264,0x30783046,00011000001000110
265,0x46464646,00100011001000110
266,0x46410D0A,10000110100001010
267,0x30783046,00011000001000110
268,0x46464646,00100011001000110
269,0x46430D0A,10000110100001010
270,0x30783046,00011000001000110
271,0x46464646,00100011001000110
272,0x46440D0A,00000110100001010
273,0x30783046,00011000001000110
274,0x46464646,00100011001000110
275,0x46430D0A,10000110100001010
276,0x30783046,00011000001000110
277,0x46464646,00100011001000110
278,0x46430D0A,10000110100001010
279,0x30783046,00011000001000110
280,0x46464646,00100011001000110
281,0x46460D0A,00000110100001010
282,0x30783046,00011000001000110
283,0x46464646,00100011001000110
284,0x46430D0A,10000110100001010
285,0x30783046,00011000001000110
286,0x46464646,00100011001000110
287,0x46460D0A,00000110100001010
288,0x30783046,00011000001000110
289,0x46464646,00100011001000110
290,0x46430D0A,10000110100001010
291,0x30783046,00011000001000110
292,0x46464646,00100011001000110
293,0x46440D0A,00000110100001010
294,0x30783046,00011000001000110
295,0x46464646,00100011001000110
296,0x46430D0A,10000110100001010
297,0x30783046,00011000001000110
298,0x46464646,00100011001000110
299,0x46430D0A,10000110100001010
300,0x30783046,00011000001000110
301,0x46464646,00100011001000110
302,0x46430D0A,10000110100001010
303,0x30783046,00011000001000110
304,0x46464646,00100011001000110
305,0x46430D0A,10000110100001010
306,0x30783046,00011000001000110
307,0x46464646,00100011001000110
308,0x46430D0A,10000110100001010
309,0x30783046,00011000001000110
310,0x46464646,00100011001000110
311,0x46450D0A,10000110100001010
312,0x30783046,00011000001000110
313,0x46464646,00100011001000110
314,0x46430D0A,10000110100001010
315,0x30783046,00011000001000110
316,0x46464646,00100011001000110
317,0x46440D0A,00000110100001010
318,0x30783046,00011000001000110
319,0x46464646,00100011001000110
320,0x46420D0A,00000110100001010
321,0x30783046,00011000001000110
322,0x46464646,00100011001000110
323,0x46420D0A,00000110100001010
324,0x30783046,00011000001000110
325,0x46464646,00100011001000110
326,0x46410D0A,10000110100001010
327,0x30783046,00011000001000110
328,0x46464646,00100011001000110
329,0x46460D0A,00000110100001010
330,0x30783046,00011000001000110
331,0x46464646,00100011001000110
332,0x46410D0A,10000110100001010
333,0x30783046,00011000001000110
334,0x46464646,00100011001000110
335,0x46430D0A,10000110100001010
