SAMPLE_NUM,HEX_VALUE,BINARY_17BIT
931,0x46464646,00100011001000110
932,0x46440D0A,00000110100001010
933,0x30783046,00011000001000110
934,0x46464646,00100011001000110
935,0x46420D0A,00000110100001010
936,0x30783046,00011000001000110
937,0x46464646,00100011001000110
938,0x46450D0A,10000110100001010
939,0x30783046,00011000001000110
940,0x46464646,00100011001000110
941,0x46460D0A,00000110100001010
942,0x30783046,00011000001000110
943,0x46464646,00100011001000110
944,0x46430D0A,10000110100001010
945,0x30783046,00011000001000110
946,0x46464646,00100011001000110
947,0x46440D0A,00000110100001010
948,0x30783046,00011000001000110
949,0x46464646,00100011001000110
950,0x46420D0A,00000110100001010
951,0x30783046,00011000001000110
952,0x46464646,00100011001000110
953,0x46460D0A,00000110100001010
954,0x30783046,00011000001000110
955,0x46464646,00100011001000110
956,0x46450D0A,10000110100001010
957,0x30783046,00011000001000110
958,0x46464646,00100011001000110
959,0x46410D0A,10000110100001010
960,0x30783046,00011000001000110
961,0x46464646,00100011001000110
962,0x46450D0A,10000110100001010
963,0x30783046,00011000001000110
964,0x46464646,00100011001000110
965,0x46430D0A,10000110100001010
966,0x30783046,00011000001000110
967,0x46464646,00100011001000110
968,0x46460D0A,00000110100001010
969,0x30783046,00011000001000110
970,0x46464646,00100011001000110
971,0x46430D0A,10000110100001010
972,0x30783046,00011000001000110
973,0x46464646,00100011001000110
974,0x46430D0A,10000110100001010
975,0x30783046,00011000001000110
976,0x46464646,00100011001000110
977,0x46430D0A,10000110100001010
978,0x30783046,00011000001000110
979,0x46464646,00100011001000110
980,0x46430D0A,10000110100001010
981,0x30783046,00011000001000110
982,0x46464646,00100011001000110
983,0x46440D0A,00000110100001010
984,0x30783046,00011000001000110
985,0x46464646,00100011001000110
986,0x46430D0A,10000110100001010
987,0x30783046,00011000001000110
988,0x46464646,00100011001000110
989,0x46440D0A,00000110100001010
990,0x30783046,00011000001000110
991,0x46464646,00100011001000110
992,0x46450D0A,10000110100001010
993,0x30783046,00011000001000110
994,0x46464646,00100011001000110
995,0x46440D0A,00000110100001010
996,0x30783046,00011000001000110
997,0x46464646,00100011001000110
998,0x46430D0A,10000110100001010
999,0x30783046,00011000001000110
